#IP country_name country_code number_of_votes number_of_students
192.168.200.200 Armenia ARM 2 5
192.168.200.201 Australia AUS 2 5
192.168.200.202 Austria AUT 2 5
192.168.200.203 Azerbaijan AZE 2 5
192.168.200.204 Bangladesh BGD 2 5
192.168.200.205 Belarus BLR 2 5
192.168.200.206 Belgium BEL 2 5
192.168.200.207 Bolivia BOL 1 1
192.168.200.208 Bosnia_and_Herzegovina BIH 2 5
192.168.200.209 Brazil BRA 2 5
192.168.200.210 Bulgaria BGR 2 5
192.168.200.211 Cambodia KHM 2 5
192.168.200.212 Canada CAN 2 5
192.168.200.213 Chinese_Taipei TWN 2 5
192.168.200.214 Colombia COL 2 2
192.168.200.215 Costa Rica CRI 0 0
192.168.200.216 Croatia HRV 2 5
192.168.200.217 Cuba CUB 1 1
192.168.200.218 Cyprus CYP 2 4
192.168.200.219 Czech_Republic CZE 2 5
192.168.200.220 Denmark DNK 2 5
192.168.200.221 Ecuador ECU 2 3
192.168.200.222 Egypt EGY 2 5
192.168.200.223 El_Salvador SLV 1 3
192.168.200.224 Estonia EST 2 5
192.168.200.225 Finland FIN 2 5
192.168.200.226 France FRA 2 5
192.168.200.227 Georgia GEO 2 5
192.168.200.228 Germany DEU 2 5
192.168.200.229 Ghana GHA 2 4
192.168.200.230 Greece GRC 2 5
192.168.200.231 Hong_Kong HKG 2 5
192.168.200.232 Hungary HUN 2 5
192.168.200.233 Iceland ISL 2 5
192.168.200.234 India IND 2 5
192.168.200.235 Indonesia IDN 2 5
192.168.200.236 Islamic_Republic_of_Iran IRN 2 5
192.168.200.237 Israel ISR 2 5
192.168.200.238 Italy ITA 2 5
192.168.200.239 Japan JPN 2 5
192.168.200.240 Kyrgyzstan KGZ 2 5
192.168.200.241 Latvia LVA 2 5
192.168.200.242 Liechtenstein LIE 0 0
192.168.200.243 Lithuania LTU 2 5
192.168.200.244 Macao_China MAC 2 5
192.168.200.245 Macedonia MKD 2 5
192.168.200.246 Malaysia MYS 2 5
192.168.200.247 Mexico MEX 2 5
192.168.200.248 Moldova MDA 2 5
192.168.200.249 Mongolia MNG 2 5
192.168.200.250 Montenegro MNE 2 2
192.168.200.251 Nepal NPL 2 5
192.168.200.252 Netherlands NLD 2 5
192.168.200.253 Nigeria NGA 2 5
192.168.200.254 Norway NOR 2 5
192.168.200.255 Pakistan PAK 2 5
192.168.200.100 Peoples_Republic_of_China CHN 2 5
192.168.200.101 Poland POL 2 5
192.168.200.102 Portugal PRT 2 5
192.168.200.103 Puerto_Rico PRI 1 1
192.168.200.104 Qatar QAT 1 2
192.168.200.105 Republic_of_Kazakhstan KAZ 2 5
192.168.200.106 Republic_of_Korea KOR 2 5
192.168.200.107 Republic_of_Singapore SGP 2 5
192.168.200.108 Romania ROU 2 5
192.168.200.109 Russia RUS 2 5
192.168.200.110 Saudi_Arabia SAU 2 5
192.168.200.111 Serbia SRB 2 5
192.168.200.112 Slovakia SVK 2 5
192.168.200.113 Slovenia SVN 2 5
192.168.200.114 South_Africa ZAF 2 5
192.168.200.115 Spain ESP 2 5
192.168.200.116 Sri_Lanka LKA 2 5
192.168.200.117 Suriname SUR 2 5
192.168.200.118 Sweden SWE 2 5
192.168.200.119 Switzerland CHE 2 5
192.168.200.120 Syria SYR 2 5
192.168.200.121 Tajikistan TJK 2 5
192.168.200.122 Thailand THA 2 5
192.168.200.123 The_Hashemite_Kingdom_of_Jordan JOR 2 5
192.168.200.124 Turkey TUR 2 5
192.168.200.125 Ukraine UKR 2 5
192.168.200.126 United_Kingdom GBR 2 5
192.168.200.127 United_States_of_America USA 2 5
192.168.200.128 Uzbekistan UZB 2 5
192.168.200.129 Vietnam ZWE 2 5

